Z,A,N,level_index,mode_code,branching_pct
0,1,1,0,B-,100.0
1,3,2,0,B-,100.0
1,4,3,0,n,100.0
1,5,4,0,2N,100.0
1,6,5,0,3N,100.0
1,7,6,0,2N,
1,7,6,0,4N,
2,5,3,0,n,100.0
2,6,4,0,B-,100.0
2,7,5,0,n,100.0
2,8,6,0,B-,100.0
2,8,6,0,B-n,16.0
2,9,7,0,n,100.0
2,10,8,0,2N,100.0
3,4,1,0,p,100.0
3,5,2,0,p,100.0
3,8,5,0,B-,100.0
3,8,5,0,B-a,100.0
3,9,6,0,B-a,12.3
3,9,6,0,B-n,51.0
3,9,6,0,B-,100.0
3,10,7,0,n,100.0
3,11,8,0,B-a,1.7
3,11,8,0,B-n,84.3
3,11,8,0,B-n,1.9
3,11,8,0,B-,100.0
3,11,8,0,B-n,4.2
3,12,9,0,n,100.0
3,13,10,0,2N,100.0
4,6,2,0,2P,100.0
4,7,3,0,EC,100.0
4,8,4,0,A,100.0
4,10,6,0,B-,100.0
4,11,7,0,B-a,3.3
4,11,7,0,B-,1.3e-05
4,11,7,0,B-,100.0
4,12,8,0,B-,100.0
4,12,8,0,B-n,0.5
4,13,9,0,n,
4,14,10,0,B-a,0.004
4,14,10,0,B-n,5.0
4,14,10,0,B-,100.0
4,14,10,0,B-n,86.0
4,15,11,0,n,100.0
4,16,12,0,2N,100.0
5,7,2,0,p,100.0
5,8,3,0,EC,100.0
5,8,3,0,EC+B+,100.0
5,9,4,0,p,100.0
5,12,7,0,B-,100.0
5,12,7,0,B-a,0.6
5,13,8,0,B-,100.0
5,13,8,0,B-n,0.266
5,14,9,0,B-,100.0
5,14,9,0,B-n,6.04
5,15,10,0,B-n,
5,15,10,0,B-n,1.5
5,15,10,0,B-,100.0
5,16,11,0,n,100.0
5,17,12,0,B-n,63.0
5,17,12,0,B-n,3.5
5,17,12,0,B-,0.4
5,17,12,0,B-,100.0
5,17,12,0,B-n,12.0
5,18,13,0,n,100.0
5,19,14,0,B-n,9.1
5,19,14,0,B-n,
5,19,14,0,B-,100.0
5,19,14,0,B-n,
5,20,15,0,n,100.0
5,21,16,0,2N,100.0
6,8,2,0,2P,100.0
6,9,3,0,EC,37.9
6,9,3,0,EC+B+,100.0
6,9,3,0,ECp,62.0
6,10,4,0,EC+B+,100.0
6,11,5,0,EC+B+,100.0
6,14,8,0,B-,100.0
6,15,9,0,B-,100.0
6,16,10,0,B-,100.0
6,16,10,0,B-n,99.28
6,17,11,0,B-n,28.4
6,17,11,0,B-n,
6,17,11,0,B-,100.0
6,18,12,0,B-n,31.5
6,18,12,0,B-n,
6,18,12,0,B-,100.0
6,19,13,0,B-n,47.0
6,19,13,0,B-n,7.0
6,19,13,0,B-,100.0
6,20,14,0,B-n,66.0
6,20,14,0,B-n,18.6
6,20,14,0,B-,100.0
6,22,16,0,B-n,
6,22,16,0,B-n,37.0
6,22,16,0,B-,100.0
7,10,3,0,p,100.0
7,11,4,0,p,100.0
7,12,5,0,EC,1.93
7,12,5,0,EC+B+,100.0
7,13,6,0,EC+B+,100.0
7,16,9,0,B-,100.0
7,16,9,0,B-a,0.00154
7,17,10,0,B-a,0.0025
7,17,10,0,B-n,95.1
7,17,10,0,B-,100.0
7,18,11,0,B-a,12.2
7,18,11,0,B-n,
7,18,11,0,B-,100.0
7,18,11,0,B-n,8.3
7,19,12,0,B-,100.0
7,19,12,0,B-n,41.8
7,20,13,0,B-n,42.9
7,20,13,0,B-n,4.5
7,20,13,0,B-,100.0
7,21,14,0,B-n,86.5
7,21,14,0,B-n,
7,21,14,0,B-,100.0
7,22,15,0,B-n,34.0
7,22,15,0,B-n,12.0
7,22,15,0,B-,100.0
7,23,16,0,B-n,3.4
7,23,16,0,B-n,8.0
7,23,16,0,B-,100.0
7,23,16,0,B-n,42.0
7,24,17,0,n,
8,11,3,0,2P,100.0
8,12,4,0,2P,100.0
8,13,5,0,ECp,10.8
8,13,5,0,EC+B+,100.0
8,14,6,0,EC+B+,100.0
8,15,7,0,EC+B+,100.0
8,19,11,0,B-,100.0
8,20,12,0,B-,100.0
8,21,13,0,B-,100.0
8,22,14,0,B-,100.0
8,22,14,0,B-n,22.0
8,23,15,0,B-,100.0
8,23,15,0,B-n,7.0
8,24,16,0,B-,100.0
8,24,16,0,B-n,41.0
8,25,17,0,n,100.0
8,26,18,0,2N,100.0
8,28,20,0,2N,
9,14,5,0,p,100.0
9,15,6,0,p,100.0
9,16,7,0,p,100.0
9,17,8,0,EC+B+,100.0
9,18,9,0,EC+B+,100.0
9,20,11,0,B-,100.0
9,21,12,0,B-,100.0
9,22,13,0,B-,100.0
9,22,13,0,B-n,11.0
9,23,14,0,B-,100.0
9,23,14,0,B-n,14.0
9,24,15,0,B-,100.0
9,24,15,0,B-n,5.9
9,25,16,0,B-n,23.6
9,25,16,0,B-n,
9,25,16,0,B-,100.0
9,26,17,0,B-n,14.0
9,26,17,0,B-n,
9,26,17,0,B-,100.0
9,26,17,1,B-n,12.0
9,26,17,1,IT,82.0
9,26,17,1,B-,18.0
9,27,18,0,B-n,
9,27,18,0,B-n,
9,27,18,0,B-,100.0
9,28,19,0,n,100.0
9,29,20,0,B-n,60.0
9,29,20,0,B-n,
9,29,20,0,B-,100.0
9,30,21,0,n,
9,31,22,0,B-n,
9,31,22,0,B-n,
9,31,22,0,B-,100.0
10,15,5,0,2P,100.0
10,16,6,0,2P,100.0
10,17,7,0,EC,3.51
10,17,7,0,EC+B+,100.0
10,17,7,0,ECp,94.4
10,18,8,0,EC+B+,100.0
10,19,9,0,EC+B+,100.0
10,23,13,0,B-,100.0
10,24,14,0,B-,100.0
10,25,15,0,B-,100.0
10,26,16,0,B-,100.0
10,26,16,0,B-n,0.13
10,27,17,0,B-n,2.0
10,27,17,0,B-n,
10,27,17,0,B-,100.0
10,28,18,0,B-n,12.0
10,28,18,0,B-n,3.7
10,28,18,0,B-,100.0
10,29,19,0,B-n,28.0
10,29,19,0,B-n,4.0
10,29,19,0,B-,100.0
10,30,20,0,B-n,13.0
10,30,20,0,B-n,8.9
10,30,20,0,B-,100.0
10,31,21,0,B-n,
10,31,21,0,B-n,
10,31,21,0,B-,100.0
10,32,22,0,B-n,
10,32,22,0,B-n,
10,32,22,0,B-,100.0
10,33,23,0,n,
10,34,24,0,B-n,
10,34,24,0,B-n,
10,34,24,0,B-,
11,17,6,0,p,100.0
11,18,7,0,p,100.0
11,19,8,0,p,100.0
11,20,9,0,EC,19.9
11,20,9,0,EC+B+,100.0
11,21,10,0,EC+B+,100.0
11,22,11,0,EC+B+,100.0
11,24,13,0,B-,100.0
11,25,14,0,B-,100.0
11,26,15,0,B-,100.0
11,27,16,0,B-,100.0
11,27,16,0,B-n,0.13
11,28,17,0,B-,100.0
11,28,17,0,B-n,0.58
11,29,18,0,B-n,24.7
11,29,18,0,B-n,
11,29,18,0,B-,100.0
11,30,19,0,B-a,5.5e-05
11,30,19,0,B-n,1.15
11,30,19,0,B-,100.0
11,30,19,0,B-n,30.0
11,31,20,0,B-n,38.8
11,31,20,0,B-n,0.87
11,31,20,0,B-,100.0
11,32,21,0,B-n,24.0
11,32,21,0,B-n,8.3
11,32,21,0,B-,100.0
11,33,22,0,B-n,47.0
11,33,22,0,B-n,13.0
11,33,22,0,B-,100.0
11,34,23,0,B-n,15.0
11,34,23,0,B-n,50.0
11,34,23,0,B-,100.0
11,35,24,0,B-n,
11,35,24,0,B-n,
11,35,24,0,B-,100.0
11,37,26,0,B-n,
11,37,26,0,B-n,
11,37,26,0,B-,100.0
12,18,6,0,2P,100.0
12,19,7,0,2P,100.0
