Z,N,A,element,level_index,level_energy_keV,spin_parity,mass_excess_keV,abundance,half_life_s,half_life_source,is_stable,is_resonance,dominant_mode,decay_modes_raw
0,1,1,NN,0,0.0,1/2+,8071.31806,,608.9,wallet,False,False,B-,B- = 100 
1,0,1,H,0,0.0,1/2+,7288.971064,99.9855,,none,True,False,STABLE,
1,1,2,H,0,0.0,1+,13135.722895,0.0145,,none,True,False,STABLE,
1,2,3,H,0,0.0,1/2+,14949.8109,,388855902.96,chart,False,False,B-,B- = 100 
1,3,4,H,0,0.0,2-,24621.129,,1.3809090909090908e-22,chart,False,True,OTHER,n = 100
1,4,5,H,0,0.0,(1/2+),32892.447,,8.59811320754717e-23,chart,False,True,OTHER,2n ~ 100 
1,5,6,H,0,0.0,,41875.725,,3.0379999999999995e-22,chart,False,True,OTHER,3n = 100
1,6,7,H,0,0.0,1/2+,49135.0,,2.531666666666667e-21,chart,False,True,OTHER,"2n?,4n?"
2,1,3,He,0,0.0,1/2+,14931.21888,0.0002,,none,True,False,STABLE,
2,2,4,He,0,0.0,0+,2424.91587,99.9998,,none,True,False,STABLE,
2,3,5,He,0,0.0,3/2-,11231.234,,6.337969401947149e-22,chart,False,True,OTHER,n = 100
2,4,6,He,0,0.0,0+,17592.095,,0.8071200000000001,chart,False,False,B-,B- = 100 
2,5,7,He,0,0.0,(3/2)-,26073.128,,2.336923076923077e-21,chart,False,True,OTHER,n = 100
2,6,8,He,0,0.0,0+,31609.683,,0.119,chart,False,False,B-,"B- = 100,B-n = 16 1"
2,7,9,He,0,0.0,1/2+,40935.826,,2.531666666666667e-21,chart,False,True,OTHER,n = 100 
2,8,10,He,0,0.0,0+,49197.147,,2.5316666666666666e-22,chart,False,True,OTHER,2n = 100
3,1,4,Li,0,0.0,2-,25323.19,,9.114e-23,chart,False,True,OTHER,p = 100 
3,2,5,Li,0,0.0,3/2-,11678.887,,3.704878048780488e-22,chart,False,True,OTHER,p = 100
3,3,6,Li,0,0.0,1+,14086.88044,4.85,,none,True,False,STABLE,
3,4,7,Li,0,0.0,3/2-,14907.10463,95.15,,none,True,False,STABLE,
3,5,8,Li,0,0.0,2+,20945.805,,0.83879,chart,False,False,B-,"B- = 100 ,B-a = 100"
3,6,9,Li,0,0.0,3/2-,24954.905,,0.178,chart,False,False,B-,"B-a = 12.3 0.9,B-n = 51 0.9,B- = 100"
3,7,10,Li,0,0.0,"(1-),(2-)",33052.628,,1.981304347826087e-21,chart,False,True,OTHER,n = 100 
3,8,11,Li,0,0.0,3/2-,40728.259,,0.00875,chart,False,False,B-,"B-a = 1.7 0.3,B-n = 84.3 1.3,B-3n = 1.9 0.2,B- = 100,B-2n = 4.2 0.3"
3,9,12,Li,0,0.0,"(1-),(2-)",49009.577,,,none,False,False,OTHER,n = 100 
3,10,13,Li,0,0.0,,56980.895,,3.6456e-21,chart,False,True,OTHER,2n = 100
4,2,6,Be,0,0.0,0+,18375.034,,4.953260869565218e-21,chart,False,True,OTHER,2p = 100 
