Z,N,A,element,name,spin_parity,mass_excess_keV,abundance,half_life_s,half_life_source,is_stable,is_resonance,dominant_mode,decay_modes_raw,N_over_Z
0,1,1,NN,1NN,1/2+,8071.31806,,608.9,wallet,False,False,B-,B- = 100 ,
1,0,1,H,1H,1/2+,7288.971064,99.9855,,none,True,False,STABLE,,0.0
1,1,2,H,2H,1+,13135.722895,0.0145,,none,True,False,STABLE,,1.0
1,2,3,H,3H,1/2+,14949.8109,,388855902.96,chart,False,False,B-,B- = 100 ,2.0
1,3,4,H,4H,2-,24621.129,,1.3809090909090908e-22,chart,False,True,OTHER,n = 100,3.0
1,4,5,H,5H,(1/2+),32892.447,,8.59811320754717e-23,chart,False,True,OTHER,2n ~ 100 ,4.0
1,5,6,H,6H,,41875.725,,3.0379999999999995e-22,chart,False,True,OTHER,3n = 100,5.0
1,6,7,H,7H,1/2+,49135.0,,2.531666666666667e-21,chart,False,True,OTHER,"2n?,4n?",6.0
2,1,3,He,3He,1/2+,14931.21888,0.0002,,none,True,False,STABLE,,0.5
2,2,4,He,4He,0+,2424.91587,99.9998,,none,True,False,STABLE,,1.0
2,3,5,He,5He,3/2-,11231.234,,6.337969401947149e-22,chart,False,True,OTHER,n = 100,1.5
2,4,6,He,6He,0+,17592.095,,0.8071200000000001,chart,False,False,B-,B- = 100 ,2.0
2,5,7,He,7He,(3/2)-,26073.128,,2.336923076923077e-21,chart,False,True,OTHER,n = 100,2.5
2,6,8,He,8He,0+,31609.683,,0.119,chart,False,False,B-,"B- = 100,B-n = 16 1",3.0
2,7,9,He,9He,1/2+,40935.826,,2.531666666666667e-21,chart,False,True,OTHER,n = 100 ,3.5
2,8,10,He,10He,0+,49197.147,,2.5316666666666666e-22,chart,False,True,OTHER,2n = 100,4.0
3,1,4,Li,4Li,2-,25323.19,,9.114e-23,chart,False,True,OTHER,p = 100 ,0.3333333333333333
3,2,5,Li,5Li,3/2-,11678.887,,3.704878048780488e-22,chart,False,True,OTHER,p = 100,0.6666666666666666
3,3,6,Li,6Li,1+,14086.88044,4.85,,none,True,False,STABLE,,1.0
3,4,7,Li,7Li,3/2-,14907.10463,95.15,,none,True,False,STABLE,,1.3333333333333333
3,5,8,Li,8Li,2+,20945.805,,0.83879,chart,False,False,B-,"B- = 100 ,B-a = 100",1.6666666666666667
3,6,9,Li,9Li,3/2-,24954.905,,0.178,chart,False,False,B-,"B-a = 12.3 0.9,B-n = 51 0.9,B- = 100",2.0
3,7,10,Li,10Li,"(1-),(2-)",33052.628,,1.981304347826087e-21,chart,False,True,OTHER,n = 100 ,2.3333333333333335
3,8,11,Li,11Li,3/2-,40728.259,,0.00875,chart,False,False,B-,"B-a = 1.7 0.3,B-n = 84.3 1.3,B-3n = 1.9 0.2,B- = 100,B-2n = 4.2 0.3",2.6666666666666665
3,9,12,Li,12Li,"(1-),(2-)",49009.577,,,none,False,False,OTHER,n = 100 ,3.0
3,10,13,Li,13Li,,56980.895,,3.6456e-21,chart,False,True,OTHER,2n = 100,3.3333333333333335
4,2,6,Be,6Be,0+,18375.034,,4.953260869565218e-21,chart,False,True,OTHER,2p = 100 ,0.5
4,3,7,Be,7Be,3/2-,15768.998,,4605120.0,chart,False,False,EC_BP,EC = 100 ,0.75
4,4,8,Be,8Be,0+,4941.672,,8.181328545780969e-17,chart,False,True,ALPHA,a = 100 ,1.0
4,5,9,Be,9Be,3/2-,11348.451,100.0,,none,True,False,STABLE,,1.25
4,6,10,Be,10Be,0+,12607.487,,43725800311200.0,chart,False,False,B-,B- = 100 ,1.5
4,7,11,Be,11Be,1/2+,20177.169,,13.77,chart,False,False,B-,"B-a = 3.3 0.1,B-p = 0.000013 0.000003,B- = 100",1.75
4,8,12,Be,12Be,0+,25077.761,,0.02146,chart,False,False,B-,"B- = 100,B-n = 0.5 0.03",2.0
4,9,13,Be,13Be,(1/2-),33659.08,,1.0126666666666666e-21,chart,False,True,OTHER,n?,2.25
4,10,14,Be,14Be,0+,39954.502,,0.00465,chart,False,False,B-,"B-a = 0.004 ,B-2n = 5 2,B- = 100,B-n = 86 6",2.5
4,11,15,Be,15Be,(5/2+),49825.821,,7.856896551724138e-22,chart,False,True,OTHER,n = 100,2.75
4,12,16,Be,16Be,0+,57447.139,,5.696249999999999e-22,chart,False,True,OTHER,2n = 100,3.0
5,2,7,B,7B,(3/2-),27676.553,,5.689138576779026e-22,chart,False,True,OTHER,p ~ 100 ,0.4
5,3,8,B,8B,2+,22921.569,,0.7721,chart,False,False,EC_BP,"ECa = 100,EC+B+ = 100 ",0.6
5,4,9,B,9B,3/2-,12416.486,,8.43888888888889e-19,chart,False,True,OTHER,p = 100 ,0.8
5,5,10,B,10B,3+,12050.611,19.65,,none,True,False,STABLE,,1.0
5,6,11,B,11B,3/2-,8667.708,80.35,,none,True,False,STABLE,,1.2
5,7,12,B,12B,1+,13369.398,,0.02022,chart,False,False,B-,"B- = 100 ,B-a = 0.6 0.02",1.4
5,8,13,B,13B,3/2-,16561.948,,0.01716,chart,False,False,B-,"B- = 100,B-n = 0.266 0.025",1.6
5,9,14,B,14B,2-,23663.686,,0.01234,chart,False,False,B-,"B- = 100,B-n = 6.04 0.23",1.8
5,10,15,B,15B,3/2-,28957.379,,0.01018,chart,False,False,B-,"B-n = 99.68 +0.08-1.6,B-2n = 1.5 ,B- = 100",2.0
5,11,16,B,16B,,37111.699,,4.557e-21,chart,False,True,OTHER,n = 100 ,2.2
5,12,17,B,17B,(3/2-),43716.322,,0.00507,chart,False,False,B-,"B-n = 63 1,B-3n = 3.5 0.7,B-4n = 0.4 0.3,B- = 100,B-2n = 12 2",2.4
5,13,18,B,18B,(2-),51792.64,,,none,False,False,OTHER,n = 100 ,2.6
5,14,19,B,19B,(3/2-),59770.251,,0.00292,chart,False,False,B-,"B-3n = 9.1 ,B-2n = 16 +5.6-4.8,B- = 100,B-n = 71.8 +8.3-9.1",2.8
5,15,20,B,20B,"(1-),(2-)",69401.569,,9.114e-22,chart,False,True,OTHER,n = 100 ,3.0
5,16,21,B,21B,(3/2-),78382.887,,7.594999999999999e-22,chart,False,True,OTHER,2n = 100,3.2
6,2,8,C,8C,0+,35064.269,,3.505384615384616e-21,chart,False,True,OTHER,2p = 100 ,0.3333333333333333
6,3,9,C,9C,3/2-,28910.971,,0.1265,chart,False,False,EC_BP,"ECa = 37.9 5.8,EC+B+ = 100 ,ECp = 62 1.9",0.5
6,4,10,C,10C,0+,15698.673,,19.3015,chart,False,False,EC_BP,EC+B+ = 100 ,0.6666666666666666
6,5,11,C,11C,3/2-,10649.397,,1220.406,chart,False,False,EC_BP,EC+B+ = 100 ,0.8333333333333334
6,6,12,C,12C,0+,0.0,98.94,,none,True,False,STABLE,,1.0
6,7,13,C,13C,1/2-,3125.00933,1.06,,none,True,False,STABLE,,1.1666666666666667
6,8,14,C,14C,0+,3019.89328,,179436513600.0,chart,False,False,B-,B- = 100 ,1.3333333333333333
6,9,15,C,15C,1/2+,9873.145,,2.451,chart,False,False,B-,B- = 100 ,1.5
6,10,16,C,16C,0+,13694.133,,0.75,chart,False,False,B-,"B- = 100,B-n = 99.28 0.12",1.6666666666666667
6,11,17,C,17C,3/2+,21031.88,,0.193,chart,False,False,B-,"B-n = 28.4 1.3,B-2n?,B- = 100",1.8333333333333333
6,12,18,C,18C,0+,24919.266,,0.092,chart,False,False,B-,"B-n = 31.5 1.5,B-2n?,B- = 100",2.0
6,13,19,C,19C,(1/2+),32413.754,,0.0463,chart,False,False,B-,"B-n = 47 3,B-2n = 7 3,B- = 100",2.1666666666666665
6,14,20,C,20C,0+,37503.567,,0.016,chart,False,False,B-,"B-n = 66 10,B-2n = 18.6 ,B- = 100",2.3333333333333335
6,16,22,C,22C,0+,53611.203,,0.0060999999999999,chart,False,False,B-,"B-n = 61 +14-13,B-2n = 37 ,B- = 100",2.6666666666666665
7,3,10,N,10N,(1-),38800.027,,1.8228e-22,chart,False,True,OTHER,p = 100 ,0.42857142857142855
7,4,11,N,11N,1/2+,24365.644,,5.842307692307694e-22,chart,False,True,OTHER,p = 100 ,0.5714285714285714
7,5,12,N,12N,1+,17338.068,,0.010996,chart,False,False,EC_BP,"ECa = 1.93 0.04,EC+B+ = 100 ",0.7142857142857143
7,6,13,N,13N,1/2-,5345.481,,598.02,chart,False,False,EC_BP,EC+B+ = 100 ,0.8571428571428571
7,7,14,N,14N,1+,2863.41683,99.6205,,none,True,False,STABLE,,1.0
7,8,15,N,15N,1/2-,101.43809,0.3795,,none,True,False,STABLE,,1.1428571428571428
7,9,16,N,16N,2-,5683.907,,7.13,chart,False,False,B-,"B- = 100 ,B-a = 0.00154 0.00005",1.2857142857142858
7,10,17,N,17N,1/2-,7870.079,,4.171,chart,False,False,B-,"B-a = 0.0025 0.0004,B-n = 95.1 0.7,B- = 100",1.4285714285714286
7,11,18,N,18N,1-,13113.167,,0.619,chart,False,False,B-,"B-a = 12.2 0.6,B-2n?,B- = 100,B-n = 8.3 1.3",1.5714285714285714
7,12,19,N,19N,1/2-,15856.255,,0.336,chart,False,False,B-,"B- = 100,B-n = 41.8 0.9",1.7142857142857142
7,13,20,N,20N,(2-),21766.498,,0.136,chart,False,False,B-,"B-n = 42.9 1.4,B-2n ~ 4.5 ,B- = 100",1.8571428571428572
7,14,21,N,21N,(1/2-),25231.915,,0.0853,chart,False,False,B-,"B-n = 86.5 3.7,B-2n?,B- = 100",2.0
7,15,22,N,22N,(0-),31764.805,,0.0209,chart,False,False,B-,"B-n = 34 2,B-2n = 12 3,B- = 100",2.142857142857143
7,16,23,N,23N,,36720.429,,0.0141,chart,False,False,B-,"B-3n = 3.4 ,B-2n = 8 4,B- = 100,B-n = 42 6",2.2857142857142856
7,17,24,N,24N,,46938.0,,5.2e-08,chart,False,False,OTHER,n?,2.4285714285714284
8,3,11,O,11O,(3/2-),47738.913,,1.9727272727272728e-22,chart,False,True,OTHER,2p = 100,0.375
8,4,12,O,12O,0+,32013.335,,8.935294117647059e-21,chart,False,True,OTHER,2p = 100 ,0.5
8,5,13,O,13O,(3/2-),23115.432,,0.00858,chart,False,False,EC_BP,"ECp = 10.8 2,EC+B+ = 100 ",0.625
8,6,14,O,14O,0+,8007.781,,70.6183,chart,False,False,EC_BP,EC+B+ = 100 ,0.75
8,7,15,O,15O,1/2-,2855.622,,122.268,chart,False,False,EC_BP,EC+B+ = 100 ,0.875
8,8,16,O,16O,0+,-4737.00217,99.757,,none,True,False,STABLE,,1.0
8,9,17,O,17O,5/2+,-808.76421,0.03835,,none,True,False,STABLE,,1.125
8,10,18,O,18O,0+,-782.81634,0.2045,,none,True,False,STABLE,,1.25
8,11,19,O,19O,5/2+,3332.858,,26.47,chart,False,False,B-,B- = 100 ,1.375
8,12,20,O,20O,0+,3796.172,,13.51,chart,False,False,B-,B- = 100 ,1.5
8,13,21,O,21O,(5/2+),8062.034,,3.42,chart,False,False,B-,B- = 100 ,1.625
8,14,22,O,22O,0+,9283.032,,2.19,chart,False,False,B-,"B- = 100,B-n = 22 ",1.75
8,15,23,O,23O,1/2+,14621.371,,0.096,chart,False,False,B-,"B- = 100,B-n = 7 2",1.875
8,16,24,O,24O,0+,18500.404,,0.072,chart,False,False,B-,"B- = 100,B-n = 41 3",2.0
8,17,25,O,25O,(3/2+),27329.03,,5.178409090909091e-21,chart,False,True,OTHER,n = 100,2.125
8,18,26,O,26O,0+,34661.041,,4.5e-12,chart,False,False,OTHER,2n = 100,2.25
8,20,28,O,28O,0+,52080.0,,1.0000000000000001e-07,chart,False,False,OTHER,2n?,2.5
9,5,14,F,14F,2-,31964.403,,5.0076923076923085e-22,chart,False,True,OTHER,p = 100,0.5555555555555556
9,6,15,F,15F,1/2+,16566.752,,1.1992105263157893e-21,chart,False,True,OTHER,p = 100 ,0.6666666666666666
9,7,16,F,16F,0-,10675.182,,1.9727272727272722e-20,chart,False,True,OTHER,p = 100 ,0.7777777777777778
9,8,17,F,17F,5/2+,1951.701,,64.368,chart,False,False,EC_BP,EC+B+ = 100 ,0.8888888888888888
9,9,18,F,18F,1+,873.112,,6584.04,chart,False,False,EC_BP,EC+B+ = 100,1.0
9,10,19,F,19F,1/2+,-1487.44512,100.0,,none,True,False,STABLE,,1.1111111111111112
9,11,20,F,20F,2+,-17.463,,11.0064,chart,False,False,B-,B- = 100 ,1.2222222222222223
9,12,21,F,21F,5/2+,-47.605,,4.158,chart,False,False,B-,B- = 100 ,1.3333333333333333
9,13,22,F,22F,4+,2793.376,,4.23,chart,False,False,B-,"B- = 100,B-n = 11 ",1.4444444444444444
9,14,23,F,23F,(5/2+),3285.263,,2.23,chart,False,False,B-,"B- = 100,B-n = 14 ",1.5555555555555556
9,15,24,F,24F,(3+),7544.516,,0.384,chart,False,False,B-,"B- = 100,B-n = 5.9 ",1.6666666666666667
9,16,25,F,25F,(5/2+),11334.167,,0.081,chart,False,False,B-,"B-n = 23.6 3.2,B-2n?,B- = 100",1.7777777777777777
9,17,26,F,26F,1+,18674.655,,0.0086,chart,False,False,B-,"B-n = 14 3,B-2n?,B- = 100",1.8888888888888888
9,18,27,F,27F,(5/2+),25133.478,,0.0053,chart,False,False,B-,"B-n = 90 +10-30,B-2n?,B- = 100",2.0
9,19,28,F,28F,(4-),33403.796,,2.531666666666667e-21,chart,False,True,OTHER,n = 100,2.111111111111111
9,20,29,F,29F,,40150.19,,0.0033,chart,False,False,B-,"B-n = 60 40,B-2n?,B- = 100",2.2222222222222223
9,21,30,F,30F,,48960.0,,2.5000000000000004e-07,chart,False,False,OTHER,n?,2.3333333333333335
9,22,31,F,31F,,56843.0,,,none,False,False,B-,"B-n?,B-2n?,B- = 100",2.4444444444444446
10,5,15,Ne,15Ne,(3/2-),40215.374,,7.723728813559322e-22,chart,False,True,OTHER,2p = 100 ,0.5
10,6,16,Ne,16Ne,0+,23986.775,,5.69625e-21,chart,False,True,OTHER,2p = 100,0.6
10,7,17,Ne,17Ne,1/2-,16500.452,,0.1091,chart,False,False,EC_BP,"ECa = 3.51 0.16,EC+B+ = 100,ECp = 94.4 2.9",0.7
10,8,18,Ne,18Ne,0+,5317.617,,1.66432,chart,False,False,EC_BP,EC+B+ = 100 ,0.8
10,9,19,Ne,19Ne,1/2+,1752.054,,17.2569,chart,False,False,EC_BP,EC+B+ = 100 ,0.9
10,10,20,Ne,20Ne,0+,-7041.93217,90.48,,none,True,False,STABLE,,1.0
10,11,21,Ne,21Ne,3/2+,-5731.776,0.27,,none,True,False,STABLE,,1.1
10,12,22,Ne,22Ne,0+,-8024.716,9.25,,none,True,False,STABLE,,1.2
10,13,23,Ne,23Ne,5/2+,-5154.045,,37.148,chart,False,False,B-,B- = 100 ,1.3
10,14,24,Ne,24Ne,0+,-5951.642,,202.8,chart,False,False,B-,B- = 100 ,1.4
10,15,25,Ne,25Ne,1/2+,-2035.503,,0.602,chart,False,False,B-,B- = 100 ,1.5
10,16,26,Ne,26Ne,0+,481.114,,0.196,chart,False,False,B-,"B- = 100,B-n = 0.13 0.03",1.6
10,17,27,Ne,27Ne,(3/2+),7050.91,,0.0309,chart,False,False,B-,"B-n = 2 0.5,B-2n?,B- = 100",1.7
10,18,28,Ne,28Ne,0+,11299.738,,0.0187,chart,False,False,B-,"B-n = 12 1,B-2n = 3.7 0.5,B- = 100",1.8
10,19,29,Ne,29Ne,(3/2-),18399.803,,0.014,chart,False,False,B-,"B-n = 28 6,B-2n = 4 1,B- = 100",1.9
