z,n,name,betaMinus,betaMinusUncertainty,electronCapture,electronCaptureUncertainty,positronEmission,positronEmissionUncertainty,bindingEnergy,bindingEnergyUncertainty,bindingEnergyLDMFit,bindingEnergyLDMFitUncertainty
0,1,Neutron,7.82E+2,4.00E-4,,,,,0.0,0.0,-2.48E+4,0.0
1,0,1H,,,-7.82E+2,4.00E-4,-1.80E+3,4.00E-4,0.0,0.0,-2.55E+4,0.0
1,1,2H,,,,,,,1.11E+3,2.00E-4,-3.76E+3,2.00E-4
1,2,3H,1.85E+1,6.00E-5,,,,,2.82E+3,3.00E-4,-1.88E+3,3.00E-4
1,3,4H,2.21E+4,1.00E+2,,,,,1.72E+3,2.50E+1,-4.39E+3,2.50E+1
1,4,5H,2.16E+4,9.16E+1,,,,,1.33E+3,1.78E+1,-4.23E+3,1.78E+1
1,5,6H,2.42E+4,2.54E+2,,,,,9.61E+2,4.23E+1,-6.04E+3,4.23E+1
1,6,7H,2.30E+4,1.00E+3,,,,,9.40E+2,1.43E+2,-6.22E+3,1.43E+2
2,1,3He,-1.37E+4,2.00E+3,-1.85E+1,6.00E-5,-1.04E+3,6.00E-5,2.57E+3,1.50E-4,-2.12E+3,1.50E-4
2,2,4He,-2.28E+4,2.12E+2,-2.21E+4,1.00E+2,-2.32E+4,1.00E+2,7.07E+3,2.00E-4,-1.21E+3,2.00E-4
2,3,5He,-4.47E+2,5.38E+1,-2.16E+4,9.16E+1,-2.26E+4,9.16E+1,5.51E+3,4.00,-1.21E+3,4.00
2,4,6He,3.50E+3,5.32E-2,-2.42E+4,2.54E+2,-2.53E+4,2.54E+2,4.87E+3,8.90E-3,-7.39E+2,8.90E-3
2,5,7He,1.11E+4,7.55,-2.30E+4,1.00E+3,-2.40E+4,1.00E+3,4.12E+3,1.07,-1.98E+3,1.07
2,6,8He,1.06E+4,1.00E-1,,,,,3.92E+3,1.11E-2,-2.35E+3,1.11E-2
2,7,9He,1.59E+4,4.68E+1,,,,,3.34E+3,5.20,-3.32E+3,5.20
2,8,10He,1.61E+4,9.37E+1,,,,,2.99E+3,9.28,-3.47E+3,9.28
3,1,4Li,,,2.28E+4,2.12E+2,2.18E+4,2.12E+2,1.15E+3,5.30E+1,-4.72E+3,5.30E+1
3,2,5Li,-2.54E+4,2.00E+3,4.47E+2,5.38E+1,-5.74E+2,5.38E+1,5.26E+3,1.00E+1,-1.38E+3,1.00E+1
3,3,6Li,-4.28E+3,5.44,-3.50E+3,5.32E-2,-4.52E+3,5.32E-2,5.33E+3,3.00E-4,-6.02E+2,3.00E-4
3,4,7Li,-8.61E+2,7.07E-2,-1.11E+4,7.55,-1.21E+4,7.55,5.60E+3,6.00E-4,6.55E+1,6.00E-4
3,5,8Li,1.60E+4,5.91E-2,-1.06E+4,1.00E-1,-1.16E+4,1.00E-1,5.15E+3,5.90E-3,-5.37E+2,5.90E-3
3,6,9Li,1.36E+4,2.01E-1,-1.59E+4,4.68E+1,-1.70E+4,4.68E+1,5.03E+3,2.07E-2,-6.14E+2,2.07E-2
3,7,10Li,2.04E+4,1.27E+1,-1.61E+4,9.37E+1,-1.71E+4,9.37E+1,4.53E+3,1.27,-1.30E+3,1.27
3,8,11Li,2.05E+4,6.59E-1,,,,,4.15E+3,5.59E-2,-1.33E+3,5.59E-2
3,9,12Li,2.39E+4,3.00E+1,,,,,3.79E+3,2.50,-2.02E+3,2.50
3,10,13Li,2.33E+4,7.07E+1,,,,,3.50E+3,5.38,-2.15E+3,5.38
4,2,6Be,-2.89E+4,2.00E+3,4.28E+3,5.44,3.26E+3,5.44,4.48E+3,9.08E-1,-1.12E+3,9.08E-1
4,3,7Be,-1.19E+4,2.51E+1,8.61E+2,7.07E-2,-1.60E+2,7.07E-2,5.37E+3,1.01E-2,-6.97E+1,1.01E-2
4,4,8Be,-1.79E+4,1.00,-1.60E+4,5.91E-2,-1.70E+4,5.91E-2,7.06E+3,4.40E-3,-2.15E+2,4.40E-3
4,5,9Be,-1.06E+3,8.99E-1,-1.36E+4,2.01E-1,-1.46E+4,2.01E-1,6.46E+3,8.50E-3,-9.19,8.50E-3
4,6,10Be,5.56E+2,8.22E-2,-2.04E+4,1.27E+1,-2.14E+4,1.27E+1,6.49E+3,8.10E-3,6.53E+1,8.10E-3
4,7,11Be,1.15E+4,2.38E-1,-2.05E+4,6.59E-1,-2.15E+4,6.59E-1,5.95E+3,2.16E-2,-2.62E+2,2.16E-2
4,8,12Be,1.17E+4,2.32,-2.39E+4,3.00E+1,-2.49E+4,3.00E+1,5.72E+3,1.59E-1,-3.18E+2,1.59E-1
4,9,13Be,1.70E+4,1.02E+1,-2.33E+4,7.07E+1,-2.43E+4,7.07E+1,5.24E+3,7.83E-1,-7.49E+2,7.83E-1
4,11,15Be,2.08E+4,1.67E+2,,,,,4.54E+3,1.10E+1,-1.26E+3,1.10E+1
4,12,16Be,2.03E+4,1.67E+2,,,,,4.28E+3,1.03E+1,-1.39E+3,1.03E+1
4,10,14Be,1.62E+4,1.33E+2,,,,,4.99E+3,9.44,-8.84E+2,9.44
5,12,17B,2.26E+4,2.04E+2,,,,,5.26E+3,1.20E+1,-6.87E+2,1.20E+1
5,13,18B,2.68E+4,2.06E+2,,,,,4.97E+3,1.13E+1,-1.04E+3,1.13E+1
5,14,19B,2.73E+4,5.34E+2,,,,,4.71E+3,2.76E+1,-1.11E+3,2.76E+1
5,15,20B,3.18E+4,5.93E+2,,,,,4.40E+3,2.73E+1,-1.39E+3,2.73E+1
5,16,21B,3.27E+4,8.17E+2,,,,,4.15E+3,2.66E+1,-1.45E+3,2.66E+1
5,10,15B,1.90E+4,2.10E+1,-2.08E+4,1.67E+2,-2.18E+4,1.67E+2,5.88E+3,1.40,-2.98E+2,1.40
5,11,16B,2.34E+4,2.48E+1,-2.03E+4,1.67E+2,-2.13E+4,1.67E+2,5.50E+3,1.53,-6.15E+2,1.53
5,2,7B,,,1.19E+4,2.51E+1,1.08E+4,2.51E+1,3.55E+3,3.59,-2.52E+3,3.59
5,3,8B,-1.21E+4,1.82E+1,1.79E+4,1.00,1.69E+4,1.00,4.71E+3,1.25E-1,-8.03E+2,1.25E-1
5,4,9B,-1.64E+4,2.31,1.06E+3,8.99E-1,4.60E+1,8.99E-1,6.25E+3,1.00E-1,-1.44E+2,1.00E-1
5,5,10B,-3.64E+3,6.87E-2,-5.56E+2,8.22E-2,-1.57E+3,8.22E-2,6.47E+3,1.50E-3,-5.26E+1,1.50E-3
5,6,11B,-1.98E+3,6.08E-2,-1.15E+4,2.38E-1,-1.25E+4,2.38E-1,6.92E+3,1.10E-3,3.77E+1,1.10E-3
5,7,12B,1.33E+4,1.32,-1.17E+4,2.32,-1.27E+4,2.32,6.63E+3,1.10E-1,-1.13E+2,1.10E-1
5,8,13B,1.34E+4,1.00,-1.70E+4,1.02E+1,-1.81E+4,1.02E+1,6.49E+3,7.69E-2,-1.25E+1,7.69E-2
5,9,14B,2.06E+4,2.12E+1,-1.62E+4,1.33E+2,-1.73E+4,1.33E+2,6.10E+3,1.51,-2.77E+2,1.51
6,2,8C,,,1.21E+4,1.82E+1,1.11E+4,1.82E+1,3.10E+3,2.28,-2.94E+3,2.28
6,3,9C,,,1.64E+4,2.31,1.54E+4,2.31,4.33E+3,2.37E-1,-9.35E+2,2.37E-1
