z,n,name,spinAndParity,massExcess(keV),massExcessUncertainty,neutronSeparationEnergy,neutronSeparationEnergyUncertainty,protonSeparationEnergy,protonSeparationEnergyUncertainty,pairingGap,pairingGapUncertainty,alpha,alphaUncertainty,deltaAlpha,deltaAlphaUncertainty
0,1,Neutron,,,,,,,,,,,,,
1,0,1H,,,,,,,,,,,,,
1,1,2H,,,,,,,,2.01E+3,5.31E-4,,,,
1,2,3H,,,,,,,,3.92E+3,5.00E+1,,,,
1,3,4H,,,,,,,,6.99E+2,8.36E+1,,,,
1,4,5H,,,,,,,,3.55E+2,1.50E+2,,,,
1,5,6H,,,,,,,,8.61E+2,5.33E+2,,,,
1,6,7H,,,,,,,,,,,,,
2,1,3He,,,,,,,,,,,,,
2,2,4He,,,,,,,,1.06E+4,1.00E+1,0.0,0.0,4.59E+1,1.77E-2
2,3,5He,,,,,,,,1.22E+3,1.41E+1,7.35E+2,2.00E+1,-1.52E+3,1.41E+1
2,4,6He,,,,,,,,1.06E+3,1.06E+1,,,,
2,5,7He,,,,,,,,1.47E+3,5.34,,,,
2,6,8He,,,,,,,,1.89E+3,2.37E+1,,,,
2,7,9He,,,,,,,,5.32E+2,5.70E+1,,,,
2,8,10He,,,,,,,,,,,,,
3,1,4Li,,,,,,,,5.14E+3,1.01E+3,,,,
3,2,5Li,,,,,,,,8.02E+3,1.11E+2,1.96E+3,5.00E+1,-1.82E+3,3.53E+1
3,3,6Li,,,,,,,,7.93E+2,2.50E+1,-1.47E+3,1.50E-3,-1.49E+3,7.53E-3
3,4,7Li,,,,,,,,2.60E+3,2.38E-2,-2.46E+3,4.20E-3,-3.09E+3,6.73E-3
3,5,8Li,,,,,,,,1.01E+3,9.89E-2,-6.10E+3,1.00E+2,-1.95E+3,5.00E+1
3,6,9Li,,,,,,,,2.04E+3,6.36,-1.03E+4,8.94E+1,-2.27E+2,4.47E+1
3,7,10Li,,,,,,,,2.11E+2,9.00,-1.12E+4,2.54E+2,-2.82E+2,1.27E+2
3,8,11Li,,,,,,,,3.02E+2,1.63E+1,-1.08E+4,1.00E+3,-1.68E+3,5.02E+2
