"Atomic Number (Z)","Atomic Mass (A)","Level Index","Element","Level Energy (Modifier)","Level Energy","Level Energy (Unit)","Level Energy (Error)","Spin-Parity","Half-Life (Modifier)","Half-Life","Half-Life (Unit)","Half-Life (Error)","Decay Width (Modifier)","Decay Width","Decay Width (Unit)","Decay Width (Error)","Abundance (Modifier)","Abundance","Abundance (Error)","Mass Excess","Mass Excess (Unit)","Mass Excess (Error)","Decay Modes",
0,1,0,NN,,0,keV,,"1/2+",,608.9,s,0.3,,,,,,,,8071.31806,keV,0.00044,"B- = 100 ",
1,1,0,H,,0,keV,,"1/2+",,STABLE,,,,,,,,99.9855,,7288.971064,keV,0.000013,,
1,2,0,H,,0,keV,,"1+",,STABLE,,,,,,,,0.0145,,13135.722895,keV,0.000015,,
1,3,0,H,,0,keV,,"1/2+",,12.3221,y,0.0106,,,,,,,,14949.8109,keV,0.00008,"B- = 100 ",
1,4,0,H,,0,keV,,"2-",,,,,,3.3,MeV,0.3,,,,24621.129,keV,100,"n = 100",
1,5,0,H,,0,keV,,"(1/2+)",,,,,,5.3,MeV,0.4,,,,32892.447,keV,89.443,"2n ~ 100 ",
1,6,0,H,,0,keV,0,,,,,,,1.5,MeV,0.3,,,,41875.725,keV,254.127,"3n = 100",
1,7,0,H,,0,keV,0,"1/2+",,,,,,0.18,MeV,+0.47-0.13,,,,49135,keV,1004,"2n?,4n?",
2,3,0,He,,0,keV,,"1/2+",,STABLE,,,,,,,,0.0002,0.0002,14931.21888,keV,0.00006,,
2,4,0,He,,0,keV,,"0+",,STABLE,,,,,,,,99.9998,0.0002,2424.91587,keV,0.00015,,
2,5,0,He,,0,keV,,"3/2-",,,,,,719,keV,48,,,,11231.234,keV,20,"n = 100",
2,6,0,He,,0,keV,,"0+",,807.12,ms,0.17,,,,,,,,17592.095,keV,0.053,"B- = 100 ",
2,7,0,He,,0,keV,,"(3/2)-",,,,,,195,keV,4,,,,26073.128,keV,7.559,"n = 100",
2,8,0,He,,0,keV,0,"0+",,119,ms,1.6,,,,,,,,31609.683,keV,0.089,"B- = 100,B-n = 16 1",
2,9,0,He,,0,keV,,"1/2+",,,,,,180,keV,100,,,,40935.826,keV,46.816,"n = 100 ",
2,10,0,He,,0,keV,,"0+",,,,,,1.8,MeV,0.3,,,,49197.147,keV,92.848,"2n = 100",
3,4,0,Li,,0,keV,,"2-",,,,,,5,MeV,0.5,,,,25323.19,keV,212.132,"p = 100 ",
3,5,0,Li,,0,keV,,"3/2-",,,,,,1.23,MeV,0,,,,11678.887,keV,50,"p = 100",
3,6,0,Li,,0,keV,,"1+",,STABLE,,,,,,,,4.85,,14086.88044,keV,0.00144,,
3,7,0,Li,,0,keV,,"3/2-",,STABLE,,,,,,,,95.15,,14907.10463,keV,0.00419,,
3,8,0,Li,,0,keV,,"2+",,838.79,ms,0.35,,,,,,,,20945.805,keV,0.047,"B- = 100 ,B-a = 100",
3,9,0,Li,,0,keV,0,"3/2-",,178,ms,0.3,,,,,,,,24954.905,keV,0.186,"B-a = 12.3 0.9,B-n = 51 0.9,B- = 100",
3,10,0,Li,,0,keV,2.5,"(1-),(2-)",,,,,,0.23,MeV,,,,,33052.628,keV,12.721,"n = 100 ",
3,11,0,Li,,0,keV,0,"3/2-",,8.75,ms,0.1,,,,,,,,40728.259,keV,0.615,"B-a = 1.7 0.3,B-n = 84.3 1.3,B-3n = 1.9 0.2,B- = 100,B-2n = 4.2 0.3",
3,12,0,Li,,0,keV,,"(1-),(2-)",,,,,,,,,,,,49009.577,keV,30.006,"n = 100 ",
3,13,0,Li,,0,keV,0,,,,,,,125,keV,+60-40,,,,56980.895,keV,70.003,"2n = 100",
4,6,0,Be,,0,keV,,"0+",,,,,,92,keV,6,,,,18375.034,keV,5.448,"2p = 100 ",
4,7,0,Be,,0,keV,,"3/2-",,53.3,d,0.1,,,,,,,,15768.998,keV,0.071,"EC = 100 ",
4,8,0,Be,,0,keV,,"0+",,,,,,5.57,eV,0.25,,,,4941.672,keV,0.035,"a = 100 ",
4,9,0,Be,,0,keV,,"3/2-",,STABLE,,,,,,,,100,0,11348.451,keV,0.076,,
4,10,0,Be,,0,keV,,"0+",,1385587,y,11581,,,,,,,,12607.487,keV,0.081,"B- = 100 ",
4,11,0,Be,,0,keV,0,"1/2+",,13.77,s,0.07,,,,,,,,20177.169,keV,0.238,"B-a = 3.3 0.1,B-p = 0.000013 0.000003,B- = 100",
4,12,0,Be,,0,keV,0,"0+",,21.46,ms,0.05,,,,,,,,25077.761,keV,1.909,"B- = 100,B-n = 0.5 0.03",
4,13,0,Be,,0,keV,0,"(1/2-)",,,,,,450,keV,30,,,,33659.08,keV,10.18,"n?",
4,14,0,Be,,0,keV,0,"0+",,4.65,ms,0.12,,,,,,,,39954.502,keV,132.245,"B-a = 0.004 ,B-2n = 5 2,B- = 100,B-n = 86 6",
4,15,0,Be,,0,keV,,"(5/2+)",,,,,,580,keV,200,,,,49825.821,keV,165.797,"n = 100",
4,16,0,Be,,0,keV,,"0+",,,,,,0.8,MeV,+0.1-0.2,,,,57447.139,keV,165.797,"2n = 100",
5,7,0,B,,0,keV,,"(3/2-)",,,,,,801,keV,20,,,,27676.553,keV,25.15,"p ~ 100 ",
5,8,0,B,,0,keV,,"2+",,772.1,ms,1.1,,,,,,,,22921.569,keV,1,"ECa = 100,EC+B+ = 100 ",
5,9,0,B,,0,keV,,"3/2-",,,,,,540,eV,210,,,,12416.486,keV,0.903,"p = 100 ",
5,10,0,B,,0,keV,,"3+",,STABLE,,,,,,,,19.65,,12050.611,keV,0.015,,
5,11,0,B,,0,keV,,"3/2-",,STABLE,,,,,,,,80.35,,8667.708,keV,0.012,,
5,12,0,B,,0,keV,,"1+",,20.22,ms,0.04,,,,,,,,13369.398,keV,1.321,"B- = 100 ,B-a = 0.6 0.02",
5,13,0,B,,0,keV,0,"3/2-",,17.16,ms,0.18,,,,,,,,16561.948,keV,1,"B- = 100,B-n = 0.266 0.025",
5,14,0,B,,0,keV,0,"2-",,12.34,ms,0.27,,,,,,,,23663.686,keV,21.213,"B- = 100,B-n = 6.04 0.23",
5,15,0,B,,0,keV,0,"3/2-",,10.18,ms,0.35,,,,,,,,28957.379,keV,21.029,"B-n = 99.68 +0.08-1.6,B-2n = 1.5 ,B- = 100",
